RegionName,year,zhvi,state_name,median_household_income,median_home_value,median_gross_rent,total_occupied_units,owner_occupied_units,renter_occupied_units,total_population,state_fips,homeownership_rate,price_to_income_ratio,MSPUS,MORTGAGE30US,HOUST,CSUSHPINSA,RHORUSQ156N,MSACSR
Maine,2010,176803.442955142,Maine,46933,176200,707,551125,402907,148218,1327665,23,73.1,3.7542880276138324,222700.0,4.689807692307692,585.5,144.66108333333332,66.85,8.0
Maine,2012,170962.43177097625,Maine,48219,175600,750,553208,398593,154615,1329084,23,72.1,3.6417179949812315,244400.0,3.6574999999999998,783.75,140.97799999999998,65.45,4.758333333333334
Maine,2014,177887.90432627252,Maine,48804,173600,772,553086,395074,158012,1328535,23,71.4,3.5570854847963282,285775.0,4.168867924528302,1000.25,164.66633333333334,64.475,5.4750000000000005
Maine,2016,191783.91901842714,Maine,50826,176000,790,551109,393966,157143,1329923,23,71.5,3.462794632668319,305125.0,3.6540384615384616,1177.0833333333333,180.89083333333335,63.4,5.208333333333333
Maine,2018,218053.07323178742,Maine,55425,184500,831,556955,402119,154836,1332813,23,72.2,3.328822733423545,325275.0,4.544615384615384,1246.8333333333333,202.42791666666668,64.425,6.175
Maine,2020,249330.94550724336,Maine,59489,198000,873,569551,414939,154612,1340825,23,72.9,3.328346416984653,328150.0,3.111698113207547,1394.3333333333333,222.06316666666666,66.6,4.625
Maine,2022,346417.50649942504,Maine,68251,244800,1009,580172,426239,153933,1366949,23,73.5,3.5867606335438307,432950.0,5.344038461538461,1551.5,298.32533333333333,65.775,8.483333333333333
Maine,2023,367356.53268168983,Maine,71773,266400,1084,589085,436029,153056,1377400,23,74.0,3.7117021721260084,426525.0,6.806730769230769,1420.5833333333333,305.7504166666667,65.9,7.875
Maryland,2010,259637.6422547314,Maryland,70647,329400,1091,2121047,1464162,656885,5696423,24,69.0,4.662618370206803,222700.0,4.689807692307692,585.5,144.66108333333332,66.85,8.0
Maryland,2012,240496.40524890213,Maryland,72999,304900,1172,2138806,1456472,682334,5785496,24,68.1,4.176769544788285,244400.0,3.6574999999999998,783.75,140.97799999999998,65.45,4.758333333333334
